2026-04-11 17:59:08 | INFO    | GeminiBot | ============================================================
2026-04-11 17:59:08 | INFO    | GeminiBot |   GEMINI SMC TITAN V27 — MODULAR ARCHITECTURE (SENIOR V1)
2026-04-11 17:59:08 | INFO    | GeminiBot | ============================================================
2026-04-11 17:59:08 | INFO    | utils.database | SQLite Baza ✅ Tayyor: logs/bot_data.db
2026-04-11 17:59:08 | ERROR   | utils.exchange | CCXT Versiya xatosi: Kutubxonada 'uznex' topilmadi. 'pip install --upgrade ccxt' qilib ko'ring.
2026-04-11 18:00:25 | INFO    | GeminiBot | ============================================================
2026-04-11 18:00:25 | INFO    | GeminiBot |   GEMINI SMC TITAN V27 — MODULAR ARCHITECTURE (SENIOR V1)
2026-04-11 18:00:25 | INFO    | GeminiBot | ============================================================
2026-04-11 18:00:25 | INFO    | utils.database | SQLite Baza ✅ Tayyor: logs/bot_data.db
2026-04-11 18:00:25 | ERROR   | utils.exchange | ❌ CCXT Versiya xatosi: Kutubxonada 'uznex' topilmadi. 'pip install --upgrade ccxt' qilib ko'ring.
2026-04-11 18:00:25 | WARNING | utils.exchange | Bot hozircha faqat tahlil (Yahoo Finance) rejimida ishlaydi.
2026-04-11 20:34:01 | INFO    | GeminiBot | ============================================================
2026-04-11 20:34:01 | INFO    | GeminiBot |   GEMINI SMC TITAN V27 — MODULAR ARCHITECTURE (SENIOR V1)
2026-04-11 20:34:01 | INFO    | GeminiBot | ============================================================
2026-04-11 20:34:01 | INFO    | utils.database | SQLite Baza ✅ Tayyor: logs/bot_data.db
2026-04-11 20:34:01 | ERROR   | utils.exchange | ❌ CCXT Versiya xatosi: Kutubxonada 'uznex' topilmadi. 'pip install --upgrade ccxt' qilib ko'ring.
2026-04-11 20:34:01 | WARNING | utils.exchange | Bot hozircha faqat tahlil (Yahoo Finance) rejimida ishlaydi.
2026-04-11 20:34:01 | INFO    | GeminiBot | Gemini SMC Titan V29 ishga tushmoqda...
2026-04-11 20:34:02 | INFO    | GeminiBot.WebSocket | Binance WS ulandi: 2 simvol kutilmoqda...
2026-04-11 20:34:02 | INFO    | GeminiBot | Web dashboard: http://0.0.0.0:8080
2026-04-11 20:34:02 | INFO    | utils.telegram | Telegram polling sikli boshlandi...
2026-04-11 20:34:02 | INFO    | GeminiBot | Market Scanning Loop boshlandi.
2026-04-11 20:34:02 | INFO    | GeminiBot | AI Worker Loop boshlandi.
2026-04-11 20:34:02 | INFO    | GeminiBot | Terminal Monitoring Loop boshlandi.
2026-04-11 20:34:02 | INFO    | werkzeug | [31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on all addresses (0.0.0.0)
 * Running on http://127.0.0.1:8080
 * Running on http://10.167.20.54:8080
2026-04-11 20:34:02 | INFO    | werkzeug | [33mPress CTRL+C to quit[0m
2026-04-11 20:34:10 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:34:14 | INFO    | werkzeug | 10.167.20.54 - - [11/Apr/2026 20:34:14] "GET / HTTP/1.1" 200 -
2026-04-11 20:34:22 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:34:28 | INFO    | werkzeug | 127.0.0.1 - - [11/Apr/2026 20:34:28] "GET / HTTP/1.1" 200 -
2026-04-11 20:34:28 | INFO    | werkzeug | 127.0.0.1 - - [11/Apr/2026 20:34:28] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
2026-04-11 20:34:34 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:34:47 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:34:59 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:35:12 | INFO    | GeminiBot | AI: TECHNICAL tahlil yakunlandi (XAU/USD)
2026-04-11 20:35:13 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:35:25 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:35:26 | INFO    | GeminiBot | AI: TECHNICAL tahlil yakunlandi (ETH/USDT)
2026-04-11 20:35:38 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:35:44 | INFO    | GeminiBot | AI: CHAT tahlil yakunlandi (XAU/USD)
2026-04-11 20:35:51 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:36:03 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:36:07 | INFO    | GeminiBot | AI: SCALPING tahlil yakunlandi (ETH/USDT)
2026-04-11 20:36:16 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
2026-04-11 20:36:29 | ERROR   | GeminiBot | Market Loop xatosi: 'filters'
